,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelswalkingStairs,labelsnonSpecific,labelsshoesOnOff,labelsonTable,labelswalking,labelsrunning,labelssitting,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2021-06-08 20:28:07.688794880,-1.0566686026250398,-8.948603567819735,-2.68036650355557,-0.0021756040926788314,-0.04020263875634515,0.02131123832642725,1,0,0,0,0,0,0,2.0450184771704802,5.90888081478965,31.223613434218354,6.483330062648657
2021-06-08 20:29:07.688794880,1.2515961340809487,0.5471384741892718,0.29288970457649627,-0.018515970103859154,0.051286838973287105,-0.005412832365205587,1,1,1,0,0,0,0,14.594861695693282,-3.5407779507313473,-0.7194774882158346,-6.3083265316317565
2021-06-08 20:30:07.688794880,3.4317302887687333,0.47232572995345995,-8.295630471693347,0.004478658950599976,0.006280385987126249,-0.01057501058888715,0,0,1,0,0,0,0,0.0,5.981495186357862,-2.903894773175223,45.53976467150941
2021-06-08 20:31:07.688794880,1.7122340770113198,0.2788757569703774,3.2787164174557746,0.02796853001423738,0.02043111877515533,-0.029715147300479326,0,0,1,1,0,0,0,36.69874988341667,2.9344279661613615,13.05011033144958,-11.66432239288074
2021-06-08 20:32:07.688794880,1.2006467550547166,0.9115349809818429,9.568546793214564,-0.027028697633488283,-0.01250850867517188,-0.07466911125031693,0,1,0,1,0,0,0,47.45566970514485,1.2166156148204443,14.506066789355263,-41.678985175765376
2021-06-08 20:33:07.688794880,-1.0058874990127085,-8.897346259937024,-0.7589761998501994,-0.0013135259594990066,0.002207681592238052,-0.023857787516653007,0,1,0,0,1,0,0,0.098999999016,21.26435110244115,21.421132300417156,9.757826625977057
2021-06-08 20:34:07.688794880,-1.2606458842117683,-9.897118343310387,-1.5179688306377859,0.028269653644541242,0.06152775285549023,-0.1100687194680362,0,0,0,0,1,0,0,0.07500000019866666,0.3899058885909135,30.78190481768635,20.11287488137271
2021-06-08 20:35:07.688794880,-0.9114954957486823,-10.049259726638782,-1.872988817036708,5.755541308524366e-05,-0.04668305468817134,-0.03604446109259865,0,0,0,0,1,1,0,0.5606666620506666,-12.869451572708533,36.685046865625225,9.956181682081775
2021-06-08 20:36:07.688794880,1.4502738324668816,-9.245107193922733,-1.2912842541545742,0.030501393614549635,0.030924943840981076,-0.08253662364440727,0,0,0,0,1,1,0,0.5360000013403333,2.34499968553575,43.063656153220094,-1.3273122941349682
2021-06-08 20:37:07.688794880,1.5124702030912274,-8.691486266040293,-0.6338064615006859,0.010715332118439395,0.0382834687959387,-0.131582766721993,0,1,0,0,1,0,0,0.24615384733010034,5.317539133349375,34.55339686866718,-3.3640373554344865
2021-06-08 20:38:07.688794880,-0.11925859966277046,1.0309045971030382,9.411240868238027,-0.001296623128162218,-0.015485206162878441,-0.03768196091440416,0,1,0,0,0,0,1,9.054609942484044,6.75508629649331,-15.312888058408934,-48.127793144292866
2021-06-08 20:39:07.688794880,0.9947690219190236,-0.2601568502844158,9.815908600768866,0.0013908671029434635,0.0032458408470378832,0.012542888565048179,0,0,0,1,0,0,1,5.191000010153333,16.077111161286336,4.101500922718372,-56.692212739714336
2021-06-08 20:40:07.688794880,0.704201108251203,-0.04077491785858297,9.851817070661527,7.190270254778942e-05,-6.779551604050984e-05,3.2583554637056495e-06,0,0,0,1,0,0,0,5.11933335619,17.040430481075177,0.4689668493623754,-61.93797323227538
2021-06-08 20:41:07.688794880,1.2725633823907725,1.7579616159527702,-2.102777825921572,-0.007650060829772676,-0.03553121995095206,-0.024382685345312557,0,1,1,1,0,0,0,12.650000065744274,2.7215616737392687,-1.7423273991329054,12.609887082288402
2021-06-08 20:42:07.688794880,-0.3700982627515045,-2.375549070210779,-1.6538616985557584,0.022166469878682992,0.00956505237401098,-0.030743585020217085,1,1,1,0,0,0,0,17.511363634681818,6.966036420311075,6.693239424699125,13.074738327943624
2021-06-08 20:43:07.688794880,-2.0688213534284103,-8.40118083449095,-2.1479799723308433,0.05871675831193767,0.09082600591241019,-0.12280411038020166,1,0,0,0,0,0,0,1.6303703564740741,11.822510797406174,24.519753921136665,5.349909154323158
